iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,discriminator_loss,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,57.46323823928833,-2.282829904103011,10.154037054654367,69.28210576865186,-8.376757953891088,0.0,0.6951588,1.373840900595612,0.05,1.562298059463501,16.558405876159668,0.02447431,0.040878303,-2.282829904103011,0.0,40000,78.67502450942993,0.9988476717574154,0.8215139792252766,-4.629778066738915,0.0
1,52.254409313201904,-3.569411304952547,7.216769557194775,62.07670032606216,-8.700386225314821,0.0,0.69497347,1.3736321509757166,0.05,1.494875192642212,34.534409523010254,0.025281295,0.037831713,-2.4114880441879647,0.0,40000,77.35121941566467,1.0001539529262098,0.8052247384114581,-3.600520779641841,0.0
2,55.18104076385498,-1.2046075504353615,18.175688039598487,207.08142880367694,-8.266016732021916,0.0,0.6932677,1.5786311093798844,0.05,2.1109938621520996,30.649017572402954,0.02583075,0.037782643,-2.2907999948127045,0.0,40000,93.19430637359619,0.9412653044410357,0.82757184508737,-3.7365697587444773,0.0
3,54.07392883300781,-2.38478878702695,10.132381110939603,77.61635116809619,-7.698486766907619,0.0,0.692838,1.181720094217905,0.05,0.15917658805847168,1.9273271560668945,0.025275538,0.044596188,-2.3001988740341295,0.0,40000,47.887855052948,0.9856049714456675,0.7467892951065694,2.717443654252262,0.0
4,50.84671068191528,1.158030741957973,40.055458022815024,545.5945310570196,-7.7700837807364715,0.5,0.6912091,1.5278738716993998,0.05,1.124479055404663,30.509613513946533,0.02463206,0.044112004,-1.9543759124349191,0.5,40000,112.07493019104004,0.9442258340614799,0.8275226773958547,21.959592350960005,4.0
5,59.244081258773804,0.4002832118871703,17.43993832859885,122.56166226758101,-7.391501088192092,0.0,0.6905871,1.4215556279775583,0.05,0.9818260669708252,27.912432432174683,0.024968084,0.035524517,-1.7189100000027102,0.0,40000,91.36191272735596,0.8395406010902327,0.6896445720349488,25.20748329215316,4.0
6,59.3645236492157,-0.6649621996551458,15.402060965573988,132.15005938083598,-7.793778727055304,0.0,0.6905056,1.4239373181182957,0.05,0.036026954650878906,25.126454830169678,0.02513431,0.035651177,-1.6135152199679539,0.0,40000,99.31546902656555,0.8712698874652887,0.6891239365728994,2.8499143883189517,0.0
7,61.62340950965881,5.147525889061396,49.77900475444152,544.3953100546914,-11.873422813763415,0.5,0.68984324,1.5771280605741371,0.05,1.4618926048278809,27.68438172340393,0.02603996,0.04632199,-0.9374111090650189,0.5,40000,42.654635190963745,0.8634097678364173,0.7406219629597638,-0.3361797780244517,0.0
8,47.542473793029785,2.280005981393043,25.934014169686723,243.48248363607334,-12.04100473913884,0.0,0.6887564,1.3646357468405865,0.05,1.4503607749938965,37.45038104057312,0.024494931,0.037245635,-0.6156694000192128,0.0,40000,64.75392031669617,1.1612683736962204,0.7272350697135134,1.269732665771662,0.0
9,45.36154294013977,4.901681134286939,50.090768090264575,560.9329148078817,-6.721670188042219,0.0,0.68916625,1.381762772288338,0.05,1.3678855895996094,32.72200918197632,0.024880229,0.043417394,-0.06393434658859753,0.0,40000,85.4997763633728,0.8043191380354284,0.656240923853712,3.3693185194383877,0.0
