iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
14,18.48298168182373,-1.543294250574532,11.462560410218709,105.81053314754946,-11.955072908794692,0.0,136.18011960974448,0.05,0.029990434646606445,0.5595788955688477,0.025490731,0.032396723,-3.163101628012262,0.0,40000,5.820669651031494,1.7985215631260334,0.712725246794386,-3.0850878575275154,0.0
15,15.911163568496704,-0.16940686235528077,21.0923388233767,221.05207251949585,-14.31672602066,0.0,151.27605399838544,0.05,0.03826498985290527,0.593590259552002,0.02488782,0.081712015,-2.863732151446564,0.0,40000,4.9943602085113525,0.9397884696786029,0.7622580161054743,-3.1847229822631,0.0
16,17.77687907218933,1.6174197638733907,33.77897680589939,446.697567765251,-11.291710622299412,0.5,172.98233793675448,0.05,0.028513193130493164,0.5051248073577881,0.024876049,0.035358265,-2.4156169599145683,0.5,40000,4.872747898101807,0.849003496183963,0.701151664930324,-2.9438381367710345,0.0
17,17.145175457000732,1.0881773221439577,13.429925033465825,72.40148469344135,-11.8174437354818,0.0,152.80953815952358,0.05,1.3780949115753174,21.384405851364136,0.02506523,0.02876539,-2.0652375317087155,0.0,40000,46.498923540115356,2.4540459318485257,0.8157085814653819,-2.9007866030449265,0.0
18,14.07392930984497,0.9603586806067075,13.944328242002102,131.8623454622649,-8.899989642186714,0.0,160.935037417404,0.05,0.027752399444580078,0.5420796871185303,0.024928812,0.0360611,-1.7626779104771733,0.0,40000,14.34814977645874,0.9099857699151308,0.8400868862922275,9.170603425951503,0.0
19,17.131776809692383,3.6241674290157926,28.276642237996008,322.651023278298,-10.900765069860297,0.0,120.80105314448343,0.05,0.44803452491760254,7.8331379890441895,0.025334466,0.07409997,-1.2239933765278768,0.0,40000,13.61668062210083,0.6674637769882192,0.4963507116083293,-0.22247851846850447,0.0
20,16.32615637779236,5.0322276622223345,40.50799302681852,394.8092119185889,-10.722901665837565,1.0,199.6599386257938,0.05,0.06360340118408203,0.6306896209716797,0.025061142,0.026546177,-0.5983712726528556,1.0,40000,37.30103421211243,0.8883214285582588,0.7422863713279472,12.623640848262973,0.0
21,14.113136529922485,7.723147232577824,45.69168608709044,582.4955863579701,-13.525237737757694,0.0,186.96334369164921,0.05,0.0465242862701416,0.7098381519317627,0.025503526,0.03378106,0.23378057787021234,0.0,40000,6.8308165073394775,0.889485787535077,0.8130183864198294,8.564063585691395,0.0
22,16.98204803466797,6.503721246469995,39.82830387009578,489.4601712160943,-13.0571013342727,0.0,154.19651732700532,0.05,0.038923025131225586,0.6060562133789062,0.02465216,0.04478584,0.8607746447301907,0.0,40000,4.978026390075684,0.9853702077030649,0.7626035252476219,29.24776235945876,4.0
23,17.85760998725891,12.107241407478016,48.57806603919352,543.9420500873404,-10.826400258078687,0.5,162.38515481714452,0.05,0.052016496658325195,0.4950289726257324,0.024939315,0.03640725,1.9854213210049734,0.5,40000,5.086795330047607,0.9222607068934379,0.6985890959121988,14.902494769176236,0.0
24,19.47405171394348,10.81720887966542,41.580889142413696,364.06499564160754,-13.120133647341342,0.5,183.2646701285884,0.05,0.0336613655090332,0.5434768199920654,0.02487423,0.02781007,2.8686000768710183,0.5,40000,5.039729833602905,0.9096736399520815,0.7750388458238459,29.16096065922376,0.0
25,16.881752014160156,6.130609542414006,29.15266140998649,232.5232241350272,-12.126059101777086,0.0,176.16057907140294,0.05,1.120692253112793,6.892035245895386,0.02492515,0.030335868,3.194801023425317,0.0,40000,5.389526605606079,0.899050579833311,0.7180466095768522,56.19521437399668,4.0
26,16.989222764968872,28.822222756517313,105.4257894747446,656.5588066539055,-13.684573911198372,2.0,191.56947495174197,0.05,0.036597490310668945,0.6375133991241455,0.025159173,0.029920004,5.757543196734517,2.0,40000,4.949635028839111,0.8950689138170085,0.719442250282612,55.05142623834389,0.0
27,17.100754976272583,10.013468967777834,32.76503764493408,340.3438972669437,-10.438979913117105,0.5,194.75503284926617,0.05,0.29248738288879395,4.763328313827515,0.024894498,0.024943028,6.183135773838849,0.5,40000,45.79822826385498,1.8129676736692726,0.7165815174206394,58.76443443238911,0.0
28,15.117244005203247,16.127530741492833,54.836532502382454,345.8770670507286,-12.89807822873167,1.0,190.44578263978465,0.05,1.2248575687408447,22.195112228393555,0.02484452,0.030993212,7.177575270604248,1.0,40000,17.6811580657959,0.8515456277668314,0.6896369825419084,62.13238524875149,0.0
29,17.326531648635864,18.812353137503727,69.50903434491012,760.1770409911242,-10.505532924699539,0.5,174.4104346928,0.05,0.028761863708496094,0.6041553020477295,0.025067966,0.0338732,8.341053057294197,0.5,40000,5.198891639709473,0.8484112094397885,0.685170997184184,77.80963191476484,0.0
30,15.936450004577637,18.070997525126348,56.481470599142376,598.5302984202423,-10.426399392691113,0.5,175.7298594788015,0.05,0.03108358383178711,0.5731489658355713,0.025121694,0.02923977,9.314047504077411,0.5,40000,4.744163751602173,0.7944392357623781,0.5190261659113374,64.59733989289555,0.0
31,18.373692512512207,18.767648324988684,54.9979542794551,415.8945320832065,-12.393437654792233,0.5,176.11360676538047,0.05,1.2619476318359375,24.85797357559204,0.025058148,0.029324833,10.259407586168539,0.5,40000,7.350848913192749,0.7767450164731446,0.5655556672501063,85.11310143536178,0.0
32,17.98410153388977,24.823769900517163,59.00033120821172,407.4796608468699,-12.13887850573725,0.5,196.36037771685073,0.05,1.089890718460083,22.47548484802246,0.025080994,0.027603973,11.715843817603403,0.5,40000,38.9817419052124,0.7511769648738381,0.5858268748649359,115.07511918666086,4.0
33,17.953160524368286,21.49461002106441,59.592258248245436,418.60277807498625,-10.457607661494812,0.0,202.14689371926374,0.05,0.027658939361572266,0.5364694595336914,0.025045408,0.027118113,12.693720437949505,0.0,40000,77.03329682350159,0.6765531499463286,0.5401795133191032,82.14522908885074,0.0
34,15.819761514663696,35.21955348770323,111.44405529547637,830.4468821582115,-11.306049360618271,3.0,212.99588392123175,0.05,0.030315637588500977,0.8942356109619141,0.025184685,0.026162686,14.946303742924878,3.0,40000,67.17952108383179,0.7535691630885699,0.5840284429126001,86.18246177740622,0.0
