iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,9.501477241516113,-6.978771223913607,9.171607150317689,75.3253335971384,-65.74331221799157,0.0,1.2187742524374077,0.05,0.043889760971069336,1.1335737705230713,0.024190042,0.047505528,-6.978771223913607,0.0,40000,2.737147569656372,0.9989903130953226,0.5014748434274275,-3.222659904643775,0.0
1,9.47621488571167,-5.993314249125901,6.2051768705448405,30.061378901342575,-27.83622014933118,0.0,1.9907593934123389,0.05,0.03979659080505371,1.1846487522125244,0.025189625,0.029545097,-6.880225526434836,0.0,40000,5.0751848220825195,0.6043073019359845,0.458912743019024,-3.495989222179473,0.0
2,9.413805484771729,-9.14476658898501,16.422106311622635,89.39686317792813,-158.77089981731405,0.0,1.7485897038000004,0.05,0.04406285285949707,1.048905372619629,0.024981998,0.025499165,-7.106679632689854,0.0,40000,4.744655132293701,0.5896093729358716,0.3476902568789557,-3.2921730436041883,0.0
3,9.441778659820557,-7.801213216927883,10.204042361745552,23.276527428803977,-76.59112280030288,0.0,2.0827019269477764,0.05,0.04008030891418457,1.0109500885009766,0.025620257,0.028109476,-7.176132991113657,0.0,40000,4.719260931015015,0.3227452657272927,0.2536512918425849,-3.378451727172624,0.0
4,9.348138093948364,-8.094705576333478,8.033146764387517,19.310314671472366,-47.324412833195446,0.0,2.2755124292095665,0.05,0.16801667213439941,1.2726068496704102,0.025892422,0.022496684,-7.2679902496356386,0.0,40000,4.5629072189331055,0.22198666902037112,0.1662672373738693,-3.050720342253432,0.0
5,9.58203411102295,-7.327569739827639,10.50957166001094,23.71835611728917,-79.50822208603141,0.0,2.1815334121051033,0.05,0.04255533218383789,1.2252016067504883,0.027354022,0.022707397,-7.273948198654839,0.0,40000,4.527509927749634,0.2862540939970898,0.22167070918780768,-3.352645155328817,0.0
6,9.335760593414307,-6.3250716846625075,12.414232838477458,44.35428196928237,-104.48571782097545,0.0,2.1521133230624137,0.05,0.0379033088684082,1.0719692707061768,0.025401425,0.01954338,-7.179060547255607,0.0,40000,4.482723712921143,0.36610983692151805,0.29774371668366434,-3.6896395918071767,0.0
7,9.450139999389648,-7.073981141754976,11.185370378503674,58.82311648363223,-63.133065546963955,0.0,2.4439656324906123,0.05,0.05096030235290527,1.0490148067474365,0.025493313,0.021403633,-7.1685526067055445,0.0,40000,4.936065435409546,0.4169882378178908,0.33283043290540243,-3.778380390532383,0.0
8,9.267879247665405,-7.540977077442084,8.380230900891537,12.778496500762833,-42.08341371568169,0.0,2.4839672219613385,0.05,0.04207038879394531,1.12013840675354,0.025685634,0.020843301,-7.205795053779198,0.0,40000,4.915186643600464,0.19916954178892307,0.16406794161868457,-4.22049601998531,0.0
9,9.273240566253662,-8.519935790536573,11.713002064533216,26.70569951153959,-61.65551001653921,0.0,2.3431838611838858,0.05,0.05390119552612305,1.045562505722046,0.024588473,0.020867474,-7.337209127454936,0.0,40000,4.385777950286865,0.2521832375068804,0.20070535659673314,-3.061409146788741,0.0
10,9.363332271575928,-5.479606898242659,13.076036083201982,90.0228049899538,-46.68959568780746,0.0,2.325573917684706,0.05,0.054410696029663086,1.4331059455871582,0.024403999,0.02330138,-7.151448904533709,0.0,40000,4.611909627914429,0.4631831766477368,0.3740248080920369,-3.9402150154606734,0.0
11,9.719680547714233,-7.202889447467843,10.149476968085304,19.930335174363563,-45.80959189269691,0.0,2.433791924360376,0.05,0.04211068153381348,1.073307752609253,0.025878709,0.020683832,-7.156592958827122,0.0,40000,5.045355558395386,0.30758403520954153,0.25089636317172676,-3.6273610079476617,0.0
12,9.419466495513916,-4.9545322507363565,10.533279428433294,84.54116429308708,-53.645268633866415,0.0,2.385687048916472,0.05,0.047835588455200195,1.1536481380462646,0.02517137,0.023139864,-6.936386888018046,0.0,40000,4.743555068969727,0.46459477441847424,0.4135743913593263,-3.5951991293477423,0.0
13,9.216409683227539,-9.038326922207238,18.980306796756285,12.008254965281823,-229.96531528328597,0.0,1.5472235377848562,0.05,0.06266570091247559,1.2437078952789307,0.024607422,0.026471088,-7.146580891436965,0.0,40000,4.215283632278442,0.35918400605844686,0.1544771764923268,-3.434816747261887,0.0
14,10.021554708480835,-9.803118101686206,25.095044037005554,30.237276475536433,-318.20963254621176,0.0,1.7756898773469483,0.05,0.03633928298950195,0.9802851676940918,0.025772242,0.021797631,-7.41223461246189,0.0,40000,4.227214336395264,0.3203528886897076,0.22856251994437557,-2.809688829919408,0.0
15,9.240766763687134,-6.977712684464684,9.154341744472902,15.47346981938754,-64.53399569370151,0.0,2.229980397006317,0.05,0.035907745361328125,1.0584313869476318,0.024644364,0.022754347,-7.368782419662169,0.0,40000,4.8101420402526855,0.29115485128671426,0.1716783969819924,-3.1001363965064455,0.0
16,9.733490943908691,-6.881325706875161,10.692485029833335,23.682497314073796,-58.461377678152424,0.0,2.1703040093164314,0.05,0.04593038558959961,1.0361568927764893,0.026496094,0.022841837,-7.320036748383469,0.0,40000,4.6687843799591064,0.28826242675850905,0.24620440324762322,-2.7644981641172195,0.0
17,10.170489311218262,-7.444315509765284,10.748495201259539,22.183975208248814,-96.58348377372938,0.0,2.308539473711101,0.05,0.06760072708129883,1.303239345550537,0.026228884,0.02176746,-7.33246462452165,0.0,40000,4.545363664627075,0.25473983925041943,0.205280751596245,-2.4023148138813166,0.0
18,9.689148664474487,-6.03637050273812,13.54193920875309,75.43819893762533,-109.99401896281282,0.0,1.9769629034956793,0.05,0.051882028579711914,0.9924359321594238,0.025940571,0.0277798,-7.202855212343297,0.0,40000,4.259042263031006,0.42544095308896873,0.3089242753561495,-2.456549027368288,0.0
19,9.979451417922974,-6.327989431594799,11.449925875635657,45.71503353938516,-72.15931458919222,0.0,2.1397080931138004,0.05,0.03997159004211426,1.1094412803649902,0.025167478,0.029524663,-7.115368634268447,0.0,40000,4.372608661651611,0.45880154905896514,0.3636838074991218,-2.013209518593649,0.0
20,10.227460622787476,-5.034889238375942,11.081923617608885,38.73934222095063,-93.90555029706594,0.0,2.2342988334147535,0.05,0.0436556339263916,1.1563708782196045,0.02478963,0.023587205,-6.907320694679196,0.0,40000,5.530879974365234,0.35502673564890014,0.29090982261224335,-2.126144578844337,0.0
21,9.695894479751587,-5.761843898614455,12.242467621063357,85.77009472526238,-55.06592077343692,0.0,2.35396188258341,0.05,0.04229569435119629,1.0646562576293945,0.024922587,0.022162918,-6.792773015072723,0.0,40000,4.29669713973999,0.4121952630958418,0.3593553058154743,-1.259783390640901,0.0
22,9.599195957183838,-6.219758602224278,11.403560455903566,22.646609340906043,-106.89319993878432,0.0,2.3096595140599994,0.05,0.07839393615722656,0.9488451480865479,0.026131948,0.020120297,-6.735471573787878,0.0,40000,4.417983770370483,0.2700463833915838,0.21507937800804688,-2.284558536857452,0.0
23,9.924572229385376,-6.071602870933657,12.246892462761906,93.0447056719438,-51.67469235469023,0.0,2.2985342698052262,0.05,0.12560200691223145,1.188061237335205,0.025627848,0.023208987,-6.669084703502456,0.0,40000,5.408761978149414,0.39692513935056245,0.32678020854900897,-2.147373932063728,0.0
24,9.498687028884888,-8.455385487545364,18.85425942627057,83.09753842408917,-172.94265213136734,0.0,2.0434005011987,0.05,0.04569578170776367,0.9916150569915771,0.024307754,0.025565293,-6.847714781906747,0.0,40000,4.283242225646973,0.36232415659647227,0.28953172250194376,-2.450422687147703,0.0
25,9.641971588134766,-7.417495943662122,11.408948174334874,17.16136490135337,-80.0631174583649,0.0,2.032551531042455,0.05,0.0448911190032959,1.0361032485961914,0.025382502,0.025298966,-6.904692898082285,0.0,40000,4.261065244674683,0.28130507255322795,0.20818316140394125,-2.5909062438327353,0.0
26,9.660664319992065,-6.176423119682738,16.15492345548261,106.79483760932065,-85.38088231929758,0.0,2.353141240655608,0.05,0.03940224647521973,1.0078303813934326,0.024961475,0.021647165,-6.831865920242331,0.0,40000,4.616067171096802,0.4663660987459859,0.4162155887859769,-2.3033607135511116,0.0
27,9.599974632263184,-6.574233448063103,12.083757880809516,22.89701248147701,-70.53186583499445,0.0,2.115875123652309,0.05,0.04182910919189453,1.1632730960845947,0.02553983,0.024677373,-6.806102673024408,0.0,40000,4.479624032974243,0.36842630203562227,0.26253040465115396,-1.691422953678933,0.0
28,9.74485182762146,-7.352225662442765,11.832316521505296,16.007475468970007,-72.4419540890027,0.0,2.205279389050423,0.05,0.047621726989746094,0.998420000076294,0.025254525,0.022095043,-6.860714971966244,0.0,40000,4.433088541030884,0.24402104739989317,0.19638551446737662,-2.6302342218686023,0.0
29,9.878483772277832,-7.189166863879864,14.44657180469355,19.91824231643425,-157.23379885863199,0.0,1.717586320214849,0.05,0.03563714027404785,1.0158374309539795,0.024267148,0.024232512,-6.893560161157606,0.0,40000,4.53346586227417,0.3616557238173562,0.20638054708721248,-2.4879134185224143,0.0
30,10.138433694839478,-5.62106258189725,13.285950759459517,89.87136072066043,-63.013787314516215,0.0,2.2669367864377077,0.05,0.04133486747741699,1.201005220413208,0.025118485,0.022318542,-6.766310403231571,0.0,40000,4.50446081161499,0.3601874511866422,0.29074222362262336,-2.6819814997213673,0.0
31,9.612349033355713,-6.446201076698949,12.98256583428122,17.66376985271624,-121.78263961094304,0.0,2.360106293730296,0.05,0.04080462455749512,1.0333561897277832,0.025620405,0.020143703,-6.734299470578309,0.0,40000,4.826128721237183,0.31748545653826826,0.23819054099691936,-2.998781865749935,0.0
32,9.823991775512695,-6.790874089533786,10.585078016683639,39.31345391697974,-53.21266134320131,0.0,2.1903879357818967,0.05,0.04014730453491211,1.103844165802002,0.024823688,0.023371339,-6.739956932473857,0.0,40000,4.880239486694336,0.28179003283452403,0.22486990550309188,-2.8323824734712737,0.0
33,10.955752849578857,-6.139257320123533,12.375527283693618,109.66510019927031,-49.72029450072659,0.0,2.229099450814825,0.05,0.04004406929016113,1.127575159072876,0.025500707,0.024070065,-6.679886971238824,0.0,40000,4.9659504890441895,0.4822712103683334,0.39595892594693666,-2.568647398265053,0.0
34,9.452778100967407,-8.690155597731213,17.778200071948714,35.773507413072856,-148.02382984013002,0.0,2.1426302275954736,0.05,0.04204416275024414,1.2050085067749023,0.025063757,0.021678187,-6.880913833888063,0.0,40000,4.556633472442627,0.32229073977032385,0.2359407034638202,-1.4949508089807804,0.0
35,10.098318338394165,-6.590230687608563,10.488148408208646,17.436241622604822,-47.08642117575807,0.0,2.2833652335071344,0.05,0.10240387916564941,0.9922740459442139,0.024710199,0.021981131,-6.851845519260113,0.0,40000,4.813623666763306,0.26757742987312344,0.21621725268371628,-2.3079899856283066,0.0
36,10.599150657653809,-7.120754404994244,10.013776777742533,32.40340715924019,-44.74037756326806,0.0,2.3805787340947155,0.05,0.05611562728881836,1.0695734024047852,0.024822643,0.020349737,-6.878736407833527,0.0,40000,4.551652431488037,0.25573406147079897,0.19763182296874945,-2.073581026502676,0.0
37,10.34540319442749,-5.7985780473760835,9.551891529809506,21.783557194205265,-43.91655742632266,0.0,2.2116548858745126,0.05,0.05158829689025879,1.1663002967834473,0.025383368,0.023288889,-6.770720571787783,0.0,40000,5.478194713592529,0.2963442834355383,0.23264158476843413,-2.141512901039098,0.0
38,10.71810007095337,-4.798052268361175,14.668651923168838,62.30742775797379,-115.3986698828607,0.0,2.2234403523825947,0.05,0.09005999565124512,1.0842127799987793,0.025371041,0.023263678,-6.573453741445123,0.0,40000,4.286073446273804,0.48259389565269045,0.38202385106621994,-2.9080258580493368,0.0
39,10.419674396514893,-6.829923382101704,15.154351591501863,91.71208848080872,-114.8285605714165,0.0,2.2052985668104235,0.05,0.06435108184814453,1.2732977867126465,0.024236917,0.026229253,-6.599100705510781,0.0,40000,4.630005598068237,0.3929126067012868,0.32359852690122226,-3.0514866363590083,0.0
40,9.657636880874634,-5.3341902449664715,16.803193886152332,47.87597804663938,-196.1271022196282,0.0,1.9600525488474403,0.05,0.042931318283081055,0.9627609252929688,0.024766091,0.022235971,-6.47260965945635,0.0,40000,4.504942178726196,0.40058145208535284,0.2985025351908514,-2.661292562523991,0.0
41,9.955783605575562,-5.898446707059665,16.35115354710199,19.9835114208167,-179.4541569421905,0.0,1.2389323901783484,0.05,0.04488706588745117,1.0823092460632324,0.023822268,0.041360136,-6.415193364216682,0.0,40000,4.390354871749878,1.1184893495942205,0.3004419792433938,-2.5257586736345754,0.0
42,10.102375745773315,-7.263396029223132,18.512060770921597,111.11778657417143,-141.32328223758324,0.0,1.916983896753778,0.05,0.11356592178344727,1.1332142353057861,0.024467152,0.025953997,-6.500013630717327,0.0,40000,4.8146772384643555,0.46286502937559754,0.37737739249414887,-2.8009732556823597,0.0
43,10.108851909637451,-6.180007005978803,13.746691293009215,56.30535830062195,-112.79394541037247,0.0,2.0708446274586403,0.05,0.05014848709106445,1.0947563648223877,0.02488872,0.023569202,-6.4680129682434755,0.0,40000,4.517278671264648,0.38766246767570794,0.30834613598712346,-2.4502922989531695,0.0
44,9.951180696487427,-4.655160015968461,14.616699165633547,109.76160559802179,-96.94682595178352,0.0,2.2655940261146044,0.05,0.039980411529541016,1.0575082302093506,0.024442172,0.025127372,-6.2867276730159745,0.0,40000,4.375993490219116,0.46512139275457526,0.4056340060135558,-2.847033806665968,0.0
45,10.512485265731812,-8.447354979094069,19.373983734150706,32.21973757685082,-167.89079660462383,0.0,1.9293419085048538,0.05,0.09758687019348145,0.9784712791442871,0.024893656,0.021271195,-6.502790403623784,0.0,40000,4.886345624923706,0.4231230135777383,0.2942642250894615,-2.6257073972127345,0.0
46,9.561671495437622,-5.726589310472861,13.40819444463622,74.25933060652326,-93.65749379813354,0.0,2.1533637388062288,0.05,0.03425765037536621,1.0805978775024414,0.024703223,0.02289272,-6.425170294308692,0.0,40000,4.454142332077026,0.4204548334264074,0.32647098160862265,-2.4663113126786276,0.0
47,9.656031847000122,-5.370146688368655,11.856832466342592,75.17768137079122,-67.3842515946752,0.0,2.406546588415796,0.05,0.03618478775024414,0.9679713249206543,0.025051853,0.02267317,-6.319667933714688,0.0,40000,4.510891914367676,0.45399085422086055,0.33480928852537106,-2.037641488750879,0.0
48,9.923547983169556,-6.068286992320293,16.085120017144042,147.01771558118304,-75.61242238979935,0.0,2.4947503298662,0.05,0.0429387092590332,1.2085018157958984,0.024410415,0.020164542,-6.294529839575249,0.0,40000,4.541715145111084,0.48915398977564367,0.42949533124782596,-2.2458411803552774,0.0
