iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,discriminator_loss,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
23,17.01310086250305,22.000041677666218,79.32471934092811,667.6638080408162,-13.924723062436131,1.5,0.6874657,1.4997106384743304,0.05,1.1556358337402344,25.793407917022705,0.024431568,0.036612276,8.343600203765487,1.5,40000,61.43372845649719,0.7920773483842852,0.6990895515193934,21.38152344180613,0.0
24,15.620805263519287,18.182213015071024,48.839700171599326,326.82867778105293,-10.249382029931986,0.0,0.68687344,1.3393186005047046,0.05,0.029416322708129883,0.7481763362884521,0.025451066,0.04107153,9.327461484896041,0.0,40000,21.047078609466553,0.7241821931969055,0.5998528048461172,16.914665698868408,0.0
25,15.541735410690308,16.883310377885653,47.3244981490491,287.5854518511813,-10.522345740629875,0.0,0.68661666,1.4177724921495822,0.05,0.3218519687652588,20.330268621444702,0.025115235,0.040872302,10.083046374195002,0.0,40000,78.12539601325989,0.7467239551763407,0.6040009684974578,44.5219799411212,4.0
26,16.721338987350464,28.775706830677024,90.40845175406093,642.7646936420938,-9.469187302075849,0.5,0.68634105,1.5182947982569668,0.05,0.5449140071868896,18.78028392791748,0.024982171,0.036028057,11.952312419843205,0.5,40000,97.07739496231079,0.7581108235136165,0.6408165705176604,59.05570754971777,4.0
27,18.241581916809082,23.187456432500166,65.84636990736,493.7288441573702,-12.78670028184491,1.0,0.68689704,1.3956901438442366,0.05,0.022181272506713867,0.6646580696105957,0.024696082,0.0356534,13.075826821108901,1.0,40000,4.641848087310791,0.6905568922173011,0.5744482747556319,62.06658326040225,8.0
28,19.047450304031372,35.32615345106413,107.55093765843841,800.2538517097282,-12.313963116063626,2.0,0.6854683,1.4015773159169063,0.05,1.4661288261413574,28.1257963180542,0.0247819,0.041231245,15.300859484104423,2.0,40000,50.002740144729614,0.7119261690573607,0.5832304940495239,80.46332720255666,8.0
29,17.027318000793457,23.16334535054554,91.87055460266527,950.5568292868576,-9.521200102546132,1.0,0.6861664,1.5449079061173252,0.05,0.1365649700164795,9.305466651916504,0.024847304,0.032307845,16.087108070748535,1.0,40000,83.47129535675049,0.842760179152604,0.47140044267548015,66.8157056202169,4.0
30,19.135860681533813,30.101151360122703,99.77525120674754,931.508168261106,-6.900559095067446,1.5,0.6862243,1.4518160094591184,0.05,0.07886624336242676,5.463557481765747,0.025421746,0.038852494,17.488512399685952,1.5,40000,98.74739027023315,0.7120534467986792,0.4890080257403552,45.641470595705954,4.0
31,15.909365892410278,33.85448237370634,94.40524272835911,744.9661200622378,-11.861077978332187,2.0,0.6851648,1.4870788988312715,0.05,0.029130220413208008,0.689746618270874,0.025102546,0.03704236,19.125109397087993,2.0,40000,6.051347017288208,0.7565970582710106,0.5434008809835907,55.973372687344074,4.0
32,19.366484880447388,50.08352129434977,128.0823134824188,879.4711849358015,-12.993625733013879,4.0,0.68477,1.501657059876715,0.05,0.02002692222595215,0.7302861213684082,0.024956476,0.03548332,22.220950586814173,4.0,40000,4.605494499206543,0.7167973455700289,0.5555624653247557,171.48104668716448,16.0
